series_id,year,period,value,footnote_codes
CES0000000026,1982,M08,-248,
CES0000000026,1982,M09,-227,
CES0000000026,1982,M10,-205,
CES0000000026,1982,M11,-192,
CES0000000026,1982,M12,-137,
CES0000000026,1983,M01,28,
CES0000000026,1983,M02,44,
CES0000000026,1983,M03,106,
CES0000000026,1983,M04,125,
CES0000000026,1983,M05,242,
CES0000000026,1983,M06,310,
CES0000000026,1983,M07,358,
CES0000000026,1983,M08,162,
CES0000000026,1983,M09,409,
CES0000000026,1983,M10,361,
CES0000000026,1983,M11,582,
CES0000000026,1983,M12,328,
CES0000000026,1984,M01,384,
CES0000000026,1984,M02,427,
CES0000000026,1984,M03,400,
CES0000000026,1984,M04,373,
CES0000000026,1984,M05,314,
CES0000000026,1984,M06,350,
CES0000000026,1984,M07,332,
CES0000000026,1984,M08,311,
CES0000000026,1984,M09,288,
CES0000000026,1984,M10,280,
CES0000000026,1984,M11,317,
CES0000000026,1984,M12,254,
CES0000000026,1985,M01,248,
CES0000000026,1985,M02,174,
CES0000000026,1985,M03,245,
CES0000000026,1985,M04,222,
CES0000000026,1985,M05,270,
CES0000000026,1985,M06,206,
CES0000000026,1985,M07,203,
CES0000000026,1985,M08,176,
CES0000000026,1985,M09,195,
CES0000000026,1985,M10,195,
CES0000000026,1985,M11,201,
CES0000000026,1985,M12,188,
CES0000000026,1986,M01,166,
CES0000000026,1986,M02,135,
CES0000000026,1986,M03,108,
CES0000000026,1986,M04,130,
CES0000000026,1986,M05,134,
CES0000000026,1986,M06,74,
CES0000000026,1986,M07,117,
CES0000000026,1986,M08,113,
CES0000000026,1986,M09,260,
CES0000000026,1986,M10,216,
CES0000000026,1986,M11,240,
CES0000000026,1986,M12,192,
CES0000000026,1987,M01,186,
CES0000000026,1987,M02,204,
CES0000000026,1987,M03,218,
CES0000000026,1987,M04,274,
CES0000000026,1987,M05,270,
CES0000000026,1987,M06,245,
CES0000000026,1987,M07,249,
CES0000000026,1987,M08,231,
CES0000000026,1987,M09,249,
CES0000000026,1987,M10,297,
CES0000000026,1987,M11,317,
CES0000000026,1987,M12,338,
CES0000000026,1988,M01,205,
CES0000000026,1988,M02,281,
CES0000000026,1988,M03,276,
CES0000000026,1988,M04,326,
CES0000000026,1988,M05,249,
CES0000000026,1988,M06,279,
CES0000000026,1988,M07,273,
CES0000000026,1988,M08,237,
CES0000000026,1988,M09,229,
CES0000000026,1988,M10,242,
CES0000000026,1988,M11,314,
CES0000000026,1988,M12,295,
CES0000000026,1989,M01,295,
CES0000000026,1989,M02,270,
CES0000000026,1989,M03,241,
CES0000000026,1989,M04,210,
CES0000000026,1989,M05,162,
CES0000000026,1989,M06,135,
CES0000000026,1989,M07,93,
CES0000000026,1989,M08,69,
CES0000000026,1989,M09,114,
CES0000000026,1989,M10,136,
CES0000000026,1989,M11,211,
CES0000000026,1989,M12,156,
CES0000000026,1990,M01,241,
CES0000000026,1990,M02,228,
CES0000000026,1990,M03,269,
CES0000000026,1990,M04,162,
CES0000000026,1990,M05,135,
CES0000000026,1990,M06,71,
CES0000000026,1990,M07,46,
CES0000000026,1990,M08,-74,
CES0000000026,1990,M09,-113,
CES0000000026,1990,M10,-152,
CES0000000026,1990,M11,-134,
CES0000000026,1990,M12,-117,
CES0000000026,1991,M01,-104,
CES0000000026,1991,M02,-160,
CES0000000026,1991,M03,-197,
CES0000000026,1991,M04,-230,
CES0000000026,1991,M05,-162,
CES0000000026,1991,M06,-80,
CES0000000026,1991,M07,-24,
CES0000000026,1991,M08,20,
CES0000000026,1991,M09,1,
CES0000000026,1991,M10,22,
CES0000000026,1991,M11,-5,
CES0000000026,1991,M12,-3,
CES0000000026,1992,M01,4,
CES0000000026,1992,M02,5,
CES0000000026,1992,M03,12,
CES0000000026,1992,M04,50,
CES0000000026,1992,M05,113,
CES0000000026,1992,M06,117,
CES0000000026,1992,M07,91,
